,_c0,Time_TimeUnnamed: 0,System_Depatch,Time_TimeCourses_List,Time_TimeInitial Time,Appointing_Time,Time_TimeUnnamed: 4,Time_TimeUnnamed: 5,Time_TimeUnnamed: 6,Time_TimeUnnamed: 7,Time_Time7/1/2020 0:00,Time_TimeUnnamed: 9,Time_TimeUnnamed: 10,Time_TimeUnnamed: 11,Time_TimeUnnamed: 12,Time_TimeUnnamed: 13,Time_TimeUnnamed: 14,Time_TimeUnnamed: 15,Time_TimeUnnamed: 16,Time_TimeUnnamed: 17,Time_TimeUnnamed: 18,Time_TimeUnnamed: 19,Time_TimeUnnamed: 20,Time_TimeUnnamed: 21,Time_TimeUnnamed: 22,Time_TimeUnnamed: 23,Time_TimeUnnamed: 24,Time_TimeUnnamed: 25,Time_TimeUnnamed: 26,Time_TimeUnnamed: 27,Time_TimeUnnamed: 28,Time_TimeUnnamed: 29,Time_TimeUnnamed: 30,Time_TimeUnnamed: 31,Time_TimeUnnamed: 32,Time_TimeUnnamed: 33,Time_TimeUnnamed: 34,Time_TimeUnnamed: 35,Time_TimeUnnamed: 36,Time_TimeUnnamed: 37,Time_TimeUnnamed: 38,Time_TimeUnnamed: 39,Time_TimeUnnamed: 40,Time_TimeUnnamed: 41,Time_TimeUnnamed: 42,Time_TimeUnnamed: 43,Time_TimeUnnamed: 44,Time_TimeUnnamed: 45,Time_TimeUnnamed: 46,Time_TimeUnnamed: 47,Time_TimeUnnamed: 48,Time_TimeUnnamed: 49,Time_TimeUnnamed: 50,Time_TimeUnnamed: 51,Time_TimeUnnamed: 52,Time_TimeUnnamed: 53,Time_TimeUnnamed: 54,Time_TimeUnnamed: 55,Time_TimeUnnamed: 56,Time_TimeUnnamed: 57,Time_TimeUnnamed: 58,Time_TimeUnnamed: 59,Time_TimeUnnamed: 60,Time_TimeUnnamed: 61,Time_TimeUnnamed: 62,Time_TimeUnnamed: 63,Time_TimeUnnamed: 64,Time_TimeUnnamed: 65,Time_TimeUnnamed: 66,Time_TimeUnnamed: 67,Time_TimeUnnamed: 68,Time_TimeUnnamed: 69,Time_TimeUnnamed: 70,Time_TimeUnnamed: 71,Time_TimeUnnamed: 72,Time_TimeUnnamed: 73,Time_TimeUnnamed: 74,Time_TimeUnnamed: 75,Time_TimeUnnamed: 76,Time_TimeUnnamed: 77,Time_TimeUnnamed: 78,Time_TimeUnnamed: 79,Time_TimeUnnamed: 80,Time_TimeUnnamed: 81,Time_TimeUnnamed: 82,Time_TimeUnnamed: 83,Time_TimeUnnamed: 84,Time_TimeUnnamed: 85,Time_TimeUnnamed: 86,Time_TimeUnnamed: 87,Time_TimeUnnamed: 88,Time_TimeUnnamed: 89,Time_TimeUnnamed: 90,Time_TimeUnnamed: 91,Time_TimeUnnamed: 92,Time_TimeUnnamed: 93,Time_TimeUnnamed: 94,Time_TimeUnnamed: 95,Time_TimeUnnamed: 96,Time_TimeUnnamed: 97
10,10,10,Rant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,19,20,20,19,20,20,20,19,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,39,39,40,40,39,40,40,40,20,20,20,20,20,20,19,0,0,0,0,0,0,0,0,374.0
11,11,11,Uku,36,36,36,36,36,21,0,0,0,0,0,0,0,0,0,0,0,3,10,10,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,751.0
12,12,12,Bowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,20,0,0,196.0
13,13,13,Sam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,29,29,29,29,29,29,29,29,29,59,59,59,59,40,40,40,40,39,29,29,29,39,39,40,60,60,59,39,39,39,39,39,39,39,39,39,39,39,60,59,59,59,59,59,59,59,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,513.0
14,14,14,Kukule,53,52,52,52,52,38,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,38,38,25,26,26,26,26,26,38,38,61,60,61,60,61,60,60,60,60,60,60,76,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,52,52,52,52,52,51,53,76,76,76,76,52,52,52,52,38,39,30,27,26,26,0,0,0,0,0,0,0,962.8
15,15,15,LVPS 1,274,274,274,274,273,274,271,274,273,272,274,271,270,272,274,273,274,272,274,274,273,274,274,274,272,273,273,273,273,273,273,273,274,274,273,272,271,272,273,274,273,271,271,268,270,266,268,272,272,274,272,272,272,273,271,272,271,272,272,273,271,272,272,272,270,272,272,272,272,272,272,271,270,272,271,269,271,272,271,272,272,272,272,272,272,271,272,272,271,272,272,273,272,271,271,274,6534.5
16,16,16,LVPS 2,270,270,269,269,269,270,270,270,270,270,270,269,270,270,269,269,270,270,270,270,270,269,270,269,270,270,270,270,269,269,270,270,269,269,269,268,269,267,269,269,269,269,267,268,268,270,270,270,268,269,270,269,268,269,268,269,269,269,270,269,269,269,270,269,269,269,269,268,269,270,268,269,270,270,270,269,269,268,269,269,269,268,269,270,269,269,269,269,269,269,269,269,269,270,269,268,6481.0
17,17,17,LVPS 3,270,270,270,270,270,271,270,271,270,271,270,271,271,271,270,270,270,271,270,269,271,270,271,270,270,270,269,270,270,266,265,262,267,269,269,270,270,270,269,270,270,270,269,270,270,270,271,268,270,270,270,270,271,271,270,270,270,270,271,270,270,270,270,270,270,270,270,271,270,270,271,270,269,270,271,270,270,270,269,270,270,270,270,270,270,269,270,270,270,270,269,271,271,270,268,270,6493.0
18,18,18,Sapu A,33,33,33,33,39,52,54,54,54,34,34,33,34,34,34,34,34,47,54,54,53,54,54,54,54,54,54,54,54,54,55,54,53,54,54,54,54,54,53,54,54,53,54,54,54,54,54,54,46,36,36,13,38,41,44,51,53,53,54,54,54,54,53,53,53,53,53,54,53,54,54,53,53,53,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,53,54,54,54,1192.0
19,19,19,Sapu B,59,59,59,60,60,59,61,61,61,61,62,61,61,61,61,62,62,62,61,61,62,62,61,62,62,62,62,61,61,60,60,60,59,57,57,57,56,54,53,53,53,46,45,46,45,46,45,45,46,46,37,37,42,42,46,45,46,46,47,46,46,53,55,56,56,55,54,54,55,54,55,57,57,56,57,58,58,57,58,59,59,60,60,60,61,61,61,60,61,61,61,62,61,61,61,61,1338.0
20,20,20,Uthuru Janani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,20,20,20,20,20,20,21,20,21,20,20,20,20,14,14,14,15,14,15,14,15,15,15,14,14,15,15,15,15,14,14,14,14,15,14,14,14,15,15,15,15,14,14,14,15,14,15,14,14,15,15,15,15,14,20,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,337.5
21,21,21,Barge,45,45,45,45,45,45,45,45,45,39,39,39,39,39,39,39,39,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,49,52,50,45,45,45,45,45,45,51,54,56,60,60,60,60,60,60,60,60,60,60,60,60,60,1128.4
22,22,22,KCCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,23,23,ACE EMBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,62,78,85,85,85,86,86,85,85,85,85,85,85,85,86,85,85,85,84,85,85,85,85,85,85,84,84,84,83,84,84,84,83,83,83,82,83,82,81,81,81,81,82,79,86,86,86,87,87,89,88,88,88,88,88,89,92,92,92,92,93,91,93,92,92,92,94,92,92,92,92,92,92,92,92,92,92,1776.0
24,24,24,ACE Matara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,328.2
25,25,25,Asia Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,11,13,25,25,33,35,39,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,38,27,21,21,16,9,0,0,732.5
26,26,26,WCP,140,140,140,140,140,140,139,140,140,140,140,140,140,140,140,140,139,139,140,140,138,137,137,138,138,138,140,140,140,140,138,138,138,138,138,138,139,139,139,138,137,138,137,138,139,138,138,138,138,138,139,139,139,138,139,138,138,138,137,138,138,137,138,137,138,138,138,139,139,139,139,138,139,139,138,140,139,139,139,139,139,139,139,140,139,138,139,139,139,139,139,139,139,139,140,140,3217.2
27,27,27,Sojitz CCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,80,113,154,155,156,157,156,156,158,157,157,156,156,157,156,157,156,157,157,156,156,157,157,158,157,158,157,157,157,156,157,158,157,156,156,157,156,157,157,158,157,158,157,157,157,156,158,157,157,158,158,158,158,158,158,157,160,152,138,118,98,84,17,0,0,0,0,2316.6
28,28,28,KPS(GT7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,29,29,KPS(GT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,30,30,CEB Sup Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,31,31,VPOWER Hamb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,32,32,VPOWER Palle.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,33,33,VPOWER Horona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
34,34,34,ALTAQQA-Pol.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,35,35,ALTAQQA-Mahi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,36,36,Solar**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,9,10,11,13,13,16,13,14,13,17,19,27,16,19,19,23,17,16,14,13,16,14,24,20,21,17,13,15,14,11,10,8,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.4
37,37,37,Wind **,51,49,49,48,46,48,52,52,53,57,53,58,54,55,54,58,58,57,59,60,61,63,59,58,60,59,60,60,60,64,56,57,63,60,67,64,62,60,61,58,56,61,57,49,54,56,59,57,53,53,47,47,47,42,46,47,47,48,53,52,43,48,44,44,45,38,38,40,41,40,40,46,43,46,45,50,49,53,56,61,62,63,62,55,54,56,56,58,56,55,57,56,58,56,60,61,2332.3
38,38,38,CEB/IPP Mini Hydro***,65,66,66,65,64,64,68,69,68,69,70,71,72,72,75,72,69,64,63,59,55,50,46,38,38,41,42,44,47,47,45,45,45,44,45,44,36,43,43,33,36,37,43,40,40,42,43,45,43,44,42,42,45,46,46,46,46,46,47,37,39,44,46,46,45,44,43,43,48,47,46,47,119,118,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,58,59,60,62,63,64,65,164.3
39,39,39,Total MW,1434,1417,1393,1392,1387,1371,1342,1345,1322,1315,1315,1302,1301,1310,1317,1310,1345,1382,1392,1429,1533,1613,1675,1738,1772,1764,1738,1714,1711,1718,1740,1755,1805,1885,1905,1940,1961,1982,2000,2006,1996,2027,2038,2046,2070,2094,2109,2111,2076,2061,2033,1995,2009,2002,2017,1991,2041,2035,2048,2059,2036,2050,2041,2047,2040,2035,2032,2009,1983,1959,1952,1914,2008,2135,2278,2418,2441,2429,2379,2327,2273,2223,2176,2124,2069,2006,1964,1900,1835,1719,1685,1637,1599,1558,1505,1486,43840.8
40,40,40,Time,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00,1.0
41,41,41,Coal,814,814,813,813,812,815,811,815,813,813,814,811,811,813,813,812,814,813,814,813,814,813,815,813,812,813,812,813,812,808,808,805,810,812,811,810,810,809,811,813,812,810,807,806,808,806,809,810,810,813,812,811,811,813,809,811,810,811,813,812,810,811,812,811,809,811,811,811,811,812,811,810,809,812,812,808,810,810,809,811,811,810,811,812,811,809,811,811,810,811,810,813,812,811,808,812,19508.5
42,42,42,Oil- CEB owned,137,137,137,138,144,156,160,160,160,134,135,133,134,134,134,135,135,160,176,180,180,181,180,181,181,182,181,181,180,179,180,179,171,170,170,171,169,168,165,167,167,159,158,159,159,160,159,159,151,141,132,109,136,142,149,155,159,159,161,160,159,166,167,169,168,168,166,167,168,168,169,174,176,179,178,179,178,176,177,178,184,188,190,194,195,195,195,194,195,195,195,195,194,195,195,195,3995.9
43,43,43,Oil-IPP owned,140,140,140,140,140,140,139,140,140,140,140,140,140,140,140,140,139,139,169,202,218,226,230,234,237,249,250,304,319,344,378,443,446,448,448,447,448,449,449,448,446,447,447,447,448,446,447,446,446,446,448,447,448,446,447,446,445,444,442,444,445,444,441,447,449,448,450,451,454,452,453,451,452,452,451,458,456,456,457,458,456,458,457,458,456,460,451,437,411,380,360,293,271,264,232,232,8370.5
44,44,44,Major Hydro,225,209,185,186,179,147,112,108,86,102,102,87,91,96,101,92,131,147,111,113,204,279,344,413,444,419,392,311,288,272,270,221,264,344,355,395,425,443,457,475,463,498,512,532,543,566,566,580,555,546,529,522,508,502,507,470,522,503,514,534,523,523,515,515,515,516,516,491,458,438,434,384,408,527,674,801,828,812,760,699,639,583,535,485,433,365,332,278,241,218,204,219,201,168,146,120,9180.8
45,45,45,Wind,51,49,49,48,46,48,52,52,53,57,53,58,54,55,54,58,58,57,59,60,61,63,59,58,60,59,60,60,60,64,56,57,63,60,67,64,62,60,61,58,56,61,57,49,54,56,59,57,53,53,47,47,47,42,46,47,47,48,53,52,43,48,44,44,45,38,38,40,41,40,40,46,43,46,45,50,49,53,56,61,62,63,62,55,54,56,56,58,56,55,57,56,58,56,60,61,2332.3
46,46,46,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,9,10,11,13,13,16,13,14,13,17,19,27,16,19,19,23,17,16,14,13,16,14,24,20,21,17,13,15,14,11,10,8,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.4
47,47,47,,1432,1415,1390,1390,1385,1370,1342,1344,1320,1315,1314,1300,1302,1310,1317,1309,1346,1380,1392,1427,1532,1612,1674,1737,1772,1763,1737,1714,1707,1715,1739,1753,1802,1883,1904,1940,1960,1983,1999,2007,1996,2025,2038,2046,2069,2095,2110,2113,2077,2062,2033,1995,2011,2005,2017,1991,2043,2035,2050,2060,2036,2049,2040,2046,2042,2035,2032,2009,1984,1960,1954,1913,2008,2134,2279,2416,2441,2427,2379,2327,2272,2222,2175,2124,2069,2005,1965,1898,1833,1717,1685,1636,1598,1557,1505,1485,43840.7
